Partner Name,Partner External ID,Partner Type,Partner Approval Status,Category,Partner Head Quarters Address,Partner Contact- Name,Partner Contact-  Email,Partner Contact-Work Phone,Partner Contact- Title,Supply Chain Mapping Required,BCP Required,Conflict Minerals Required,Corporate Social Responsibility Required,Capacity Risk Survey Required,Change Notification Required,Financial Risk 1: Credit Risk Score,Financial Risk 2: Health Risk Score,Financial Risk 3: Debt Rating Score,Financial Risk 4:  Z Risk Score,Partner Custom Defined Risk Score (1),Partner Custom Defined Risk Score (2),Partner Custom Defined Risk Score (3),Partner Custom Defined Risk Score (4),Partner Custom Defined Risk Score (5),Name of Escalation Manager (1),Name of Escalation Manager (2),Name of Escalation Manager (3),Partner Emergency Contact- Name,Partner Emergency Contact- Email,Partner Emergency Contact- Work Phone,Partner DUNS Number,Tier Level,Higher Tier Partner
Ravi kumar,PExternalID1,Component Supplier,Approved,Category1,HQ Address,sagar,Sagar.test11@resilinc.com,7895678452.0,Title1,Yes,yes,Yes,Yes,Yes,Yes,1.0,3.0,1.0,5.0,4.0,1.0,8.0,2.0,1.0,N1EM1,N2EM1,N3EM1,ravi,ganesh8@resilinc.com,7896784561.0,9876543210.0,1.0,
,PExternalID2,3PL/LC,Approved,Category2,HQ Address,ramki,ramki@resilinc.com,9989786743.0,Title2,yes,Yes,Yes,Yes,Yes,Yes,2.0,6.0,4.0,7.0,6.0,2.0,5.0,1.0,2.0,N1EM2,N2EM2,N3EM2,ambeersh,ambreesh@resilinc.com,7896784561.0,9876543210.0,1.0,
harikumar,pExternalD3,Distributor,Approved,Category3,HQ Address,sravan,sravan@resilinc.com,8974563421.0,Title3,yes,yes,yes,yes,yes,yes,4.0,8.0,3.0,7.0,5.0,1.0,5.0,3.0,2.0,N!EM3,NIEM3,NIEM3,yugadhar,yugadhar@resilinc.com,7896784561.0,7895431283.0,1.0,
harikumar,pExternalD4,DIstributor,Approved,Category4,HQ Address,govardhan,govardhan@resilinc.com,,Title4,yes,yes,yes,yes,yes,yes,3.0,2.0,4.0,9.0,5.0,1.0,8.0,7.0,9.0,NIEM4,NIEM4,NIEM4,deva,deva12@resilinc.com,7890678450.0,9876543354.0,1.0,
revanth,pExternalD5,3PL/LC,Approved,Category5,HQ Address,sruya,sruya@resilinc.com,9876542312.0,Title5,Yes,yes,yes,yes,yes,yes,1.0,2.0,3.0,4.0,5.0,3.0,3.0,2.0,4.0,NIEM5,NIEM5,NIEM5,ramu,ramujan@resilinc.com,7896758901.0,98767887634.0,1.0,
prasad,pExternalD6,Distributor,Approved,Category6,HQ Address,anand,anand#resilinc.com,7865643210.0,Title6,yes,yes,yes,yes,yes,yes,1.0,3.0,4.0,5.0,5.0,6.0,7.0,4.0,1.0,NIEM6,NIEM6,NIEM6,hemanth,hemanth@resilinc.com,7890567489.0,8977896780.0,1.0,
mahesh,pExternalD5,3PL/LC,Approved,Category5,HQ Address,rashmi,,9876542312.0,Title5,Yes,yes,yes,yes,yes,yes,1.0,2.0,3.0,4.0,5.0,3.0,3.0,2.0,4.0,NIEM5,NIEM5,NIEM5,yugi,yugi@resilinc.com,7896758901.0,98767887634.0,1.0,
gopal,pExternalD6,Distributor,Approved,Category6,HQ Address,rekha,rekha@resilinc.com,7865643210.0,Title6,yes,yes,yes,yes,yes,yes,1.0,3.0,4.0,5.0,5.0,6.0,7.0,4.0,1.0,NIEM6,NIEM6,NIEM6,,govind@resilinc.com,7890567489.0,8977896780.0,1.0,
prajwal,pExternalD6,Distributor,Approved,Category6,HQ Address,varsha,varsha@resilinc.com,7865643210.0,Title6,yes,yes,yes,yes,yes,yes,1.0,3.0,4.0,5.0,5.0,6.0,7.0,4.0,1.0,NIEM6,NIEM6,NIEM6,raghu,,7890567489.0,8977896780.0,1.0,
kumar,PExternalID1,Component Supplier,Approved,Category1,HQ Address1,,Sagar.test11@resilinc.com,7895678452.0,Title1,Yes,yes,Yes,Yes,Yes,Yes,1.0,3.0,1.0,5.0,4.0,1.0,8.0,2.0,1.0,N1EM1,N2EM1,N3EM1,gani,gani@resilinc.com,7896784561.0,9876543210.0,1.0,
